m_75_79_yrs, uw_care_oth_chld_wo_pay_pc, obp_america_pc, fam_type_cpl_non_dep_chld, m_5_9_yrs, bd_stnd_dth_rate, psq_postgrad_deg_pc, m_tot, uw_care_own_oth_chld_wo_pay_pc, f_50_54_yrs, mtw_tot_empl, f_75_79_yrs, mtw_1_meth_tot, p_15_19_yrs, f_55_59_yrs, p_med_age, year, psq_grad_dip_cert_pc, disable_p_liv_priv_dwell_pc, att_preschl_15_hrs_less, psq_adv_dip_dip_pc, f_45_49_yrs, f_35_39_yrs, internet_access_dial_up_pc, p_20_24_yrs, p_85_yrs_plus_pc, p_15_24_yrs_pc, disable_p_liv_priv_dwell, m_med_age, p_45_49_yrs, m_65_69_yrs, obp_se_asia_pc, obp_sth_east_europe_pc, m_15_19_yrs, f_40_44_yrs, m_0_4_yrs, rime_departures, oep_sal_wrk_pc, f_25_29_yrs, internet_access_tot_connected_pc, enrl_preschl_prog_tot, p_35_39_yrs, m_30_34_yrs, obp_sth_cntrl_asia_pc, hhold_type_fam, p_25_29_yrs, prop_indig_ppl_pc, rime_net_migrtn, p_80_84_yrs, fam_type_opf_non_dep_chld, fam_avg_size, p_55_59_yrs, uw_prov_care_hpl_assist_oth_pc, p_tot, m_60_64_yrs, p_5_9_yrs, psq_bach_deg_pc, m_55_59_yrs, p_25_34_yrs_pc, mtw_oth_wrk_meth_ns, p_85_yrs_and_over, m_10_14_yrs, mtw_1_meth_bicycle, oep_inad_desc_ns_pc, enrl_preschl_prog_preschl_daycare, mtw_more_1_meth_tot, m_80_84_yrs, m_25_29_yrs, mtw_oth_emp_not_go_to_wrk, fam_type_oth_fam, bd_tot_fert_rate, p_30_34_yrs, mtw_1_meth_oth, uw_volunt_wrk_org_grp_pc, fam_type_tot, fam_type_cpl_chld_u15_dep_stu, enrl_preschl_prog_5_yrs, p_45_54_yrs_pc, mtw_1_meth_bus, f_70_74_yrs, hhold_type_group, m_50_54_yrs, p_0_4_yrs, hhold_type_tot, oep_mach_oper_driv_pc, f_20_24_yrs, pop_density, p_75_79_yrs, p_10_14_yrs, att_preschl_15_hrs_more, obp_nw_europe_pc, obp_tot_pc, fam_type_cpl_wo_chld, f_10_14_yrs, obp_ne_asia_pc, p_50_54_yrs, oep_lab_pc, bd_births, oep_cler_admin_wrk_pc, f_30_34_yrs, oep_manager_pc, m_45_49_yrs, obp_sub_saharan_africa_pc, p_70_74_yrs, sa3_name_2011, f_60_64_yrs, internet_access_other_pc, uw_care_own_chld_wo_pay_pc, p_40_44_yrs, m_85_yrs_and_over, psq_pop_15_yrs_plus_pc, p_55_64_yrs_pc, m_70_74_yrs, bd_deaths, enrl_preschl_prog_preschl, p_tot_wrk_age_pop_pc, fam_type_opf_chld_u15_dep_stu, mtw_1_meth_car, psq_inad_desc_ns_pc, p_75_84_yrs_pc, oep_prof_pc, mtw_1_meth_walk_ono, psq_cert_pc, m_35_39_yrs, spk_lang_oth_eng_pc, p_35_44_yrs_pc, oep_comm_pers_serv_wrk_pc, rime_arrivals, enrl_preschl_prog_1_more_type, m_40_44_yrs, p_65_74_yrs_pc, p_0_14_yrs_pc, f_85_yrs_and_over, obp_nrth_afric_mid_east_pc, hhold_avg_size, f_80_84_yrs, obp_oceania_antar_pc, m_20_24_yrs, mtw_1_meth_motorbike_or_scooter, f_5_9_yrs, mtw_oth_wrk_home, enrl_preschl_prog_4_yrs, f_0_4_yrs, internet_access_broadband_pc, f_tot, sa3_code_2011, f_15_19_yrs, hhold_type_lone_pers, p_60_64_yrs, f_med_age, f_65_69_yrs, p_65_69_yrs, mtw_1_meth_train_or_tram, oep_tech_trade_wrk_pc
416,null,null,null,1585,5.0,null,19888,null,1456,null,446,null,2798,1272,38,"2014",null,null,296,null,1359,1332,null,2511,1.5,13.4,null,37,2760,1007,null,null,1468,1626,1370,2548,null,1072,null,541,2554,1126,null,null,2166,null,621,566,null,null,2524,null,39638,1141,3008,null,1252,11.1,null,577,1487,null,null,346,null,262,1094,null,null,2.0,2244,null,null,null,null,145,14.1,null,601,null,1383,2662,null,null,1218,45.5,862,2916,227,null,null,null,1429,null,2839,null,452,null,1118,null,1401,null,1271,"Wollondilly",1178,null,null,3113,224,null,12.2,670,189,186,65.2,null,null,null,3.6,null,null,null,1222,null,14.3,null,3169,5,1487,8.1,21.7,353,null,null,304,null,1293,null,1423,null,394,1292,null,19750,"12303",1330,null,2319,39,941,1948,null,null
980,null,null,null,2597,5.5,null,38592,null,3118,null,1255,null,5087,3145,43,"2014",null,null,513,null,2815,2344,null,4260,2.2,11.8,null,42,5463,2418,null,null,2599,3067,2212,4425,null,1751,null,1046,4541,1906,null,null,3672,null,76,1493,null,null,6081,null,79443,2842,5108,null,2936,9.6,null,1721,2628,null,null,458,null,635,1921,null,null,1.9,3919,null,null,null,null,228,14.4,null,1784,null,2878,4546,null,null,2065,84.3,2235,5097,504,null,null,null,2469,null,5996,null,712,null,2013,null,2648,null,3422,"Blue Mountains",3067,null,null,5846,583,null,15.1,1638,563,537,63.9,null,null,null,4.7,null,null,null,2197,null,13.1,null,4501,51,2779,10.7,18.6,1138,null,null,858,null,2195,null,2511,null,819,2334,null,40851,"12401",2488,null,5909,44,2629,5047,null,null
1,null,null,null,null,null,null,3,null,null,null,null,null,3,null,29,"2014",null,null,null,null,null,null,null,null,null,42.9,null,43,null,null,null,null,null,null,null,null,null,1,null,null,null,null,null,null,1,null,null,null,null,null,null,null,7,null,null,null,null,14.3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Blue Mountains - South",null,null,null,2,null,null,null,null,null,null,85.7,null,null,null,14.3,null,null,null,null,null,28.6,null,null,null,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,"12402",3,null,null,14,null,null,null,null
1134,null,null,null,4957,6.0,null,67389,null,4488,null,1300,null,9346,4132,34,"2014",null,null,905,null,4369,4847,null,10244,1.2,14.4,null,34,8528,3079,null,null,4783,4876,5371,8168,null,5422,null,1696,9666,4954,null,null,10647,null,1092,1603,null,null,7995,null,136215,3403,9644,null,3863,15.4,null,1610,4584,null,null,1186,null,684,5225,null,null,1.9,10339,null,null,null,null,397,12.6,null,1879,null,4130,10168,null,null,5049,374.9,2434,8964,732,null,null,null,4380,null,8618,null,1887,null,5385,null,4159,null,3631,"Penrith",3632,null,null,9641,532,null,11.0,1752,707,457,67.6,null,null,null,3.0,null,null,null,4819,null,14.2,null,9260,52,4765,7.1,21.1,1078,null,null,919,null,5195,null,4687,null,1299,4797,null,68826,"12403",4563,null,7035,35,3023,6102,null,null
357,null,null,null,1341,6.4,null,18923,null,1238,null,447,null,2655,1001,34,"2014",null,null,215,null,1325,1140,null,3305,1.7,15.8,null,33,2586,741,null,null,1376,1385,1302,3369,null,1438,null,384,2259,1246,null,null,3085,null,-16,556,null,null,2021,null,37636,903,2603,null,1020,14.8,null,641,1292,null,null,245,null,231,1647,null,null,2.0,2476,null,null,null,null,87,13.5,null,606,null,1244,2510,null,null,1503,210.4,804,2511,159,null,null,null,1219,null,2482,null,484,null,1230,null,1261,null,1153,"Richmond - Windsor",907,null,null,2652,227,null,10.2,547,262,133,67.3,null,null,null,3.6,null,null,null,1119,null,13.0,null,3353,4,1267,7.1,20.3,414,null,null,325,null,1802,null,1262,null,300,1208,null,18713,"12404",1279,null,1810,36,786,1527,null,null
406,null,null,null,1832,6.4,null,28141,null,2137,null,444,null,4023,1906,34,"2014",null,null,318,null,1854,1703,null,4624,1.0,15.4,null,34,3633,1174,null,null,2001,1905,2108,5077,null,2286,null,642,3510,2135,null,null,4573,null,92,610,null,null,3747,null,56204,1542,3719,null,1841,15.7,null,534,1859,null,null,396,null,240,2287,null,null,2.0,4251,null,null,null,null,102,13.8,null,680,null,1993,4105,null,null,2245,1701.8,850,3582,298,null,null,null,1723,null,4130,null,760,null,2116,null,1779,null,1375,"St Marys",1361,null,null,3804,164,null,11.8,695,274,239,69.7,null,null,null,2.6,null,null,null,1807,null,13.0,null,5169,11,1899,6.4,20.3,370,null,null,370,null,2379,null,1887,null,545,1997,null,28063,"12405",2022,null,2903,34,1057,2231,null,null
639,null,null,null,2721,4.9,null,44816,null,2437,null,644,null,5177,2392,32,"2014",null,null,296,null,2442,3020,null,7193,1.2,14.3,null,32,5111,1308,null,null,2727,2806,3663,8401,null,4492,null,563,6576,4947,null,null,9668,null,-1311,851,null,null,4733,null,86219,1713,5345,null,2341,21.7,null,1051,2314,null,null,373,null,398,5176,null,null,2.3,9069,null,null,null,null,50,11.7,null,935,null,2579,7163,null,null,3363,2607.9,1283,4511,235,null,null,null,2197,null,5016,null,1602,null,4122,null,2669,null,1812,"Auburn",1661,null,null,5775,389,null,9.4,877,323,184,71.6,null,null,null,2.5,null,null,null,3556,null,14.3,null,7090,9,2969,5.0,19.7,662,null,null,453,null,3830,null,2624,null,507,3500,null,41403,"12501",2450,null,3374,32,1203,2511,null,null
896,null,null,null,2141,4.5,null,33065,null,2475,null,958,null,4562,2097,39,"2014",null,null,297,null,2508,2327,null,4555,2.0,13.7,null,38,4782,1359,null,null,2325,2581,2112,5727,null,2012,null,692,4320,2157,null,null,4170,null,282,1340,null,null,4222,null,66511,1753,4065,null,2125,12.8,null,1309,2199,null,null,402,null,602,2158,null,null,1.8,4365,null,null,null,null,131,14.7,null,1190,null,2544,4146,null,null,2161,2589.2,1854,4092,384,null,null,null,1893,null,5019,null,687,null,2208,null,2274,null,2354,"Carlingford",1772,null,null,4958,492,null,11.6,1164,349,272,66.9,null,null,null,4.8,null,null,null,1993,null,13.9,null,6009,24,2377,7.9,18.5,817,null,null,738,null,2394,null,1924,null,567,2034,null,33446,"12502",2237,null,3525,40,1514,2873,null,null
1558,null,null,null,5352,5.7,null,75932,null,4448,null,1738,null,9875,4085,34,"2014",null,null,570,null,4563,5139,null,11197,1.8,14.0,null,33,9005,3065,null,null,5146,4776,6631,14043,null,6373,null,1196,10434,6304,null,null,12765,null,-1854,2689,null,null,8135,null,150997,3464,10568,null,4050,16.8,null,2677,4764,null,null,822,null,1208,6392,null,null,2.3,12638,null,null,null,null,143,11.9,null,2180,null,4453,12670,null,null,5462,2706.1,3296,9143,562,null,null,null,4379,null,8901,null,2644,null,6334,null,4442,null,4394,"Merrylands - Guildford",3494,null,null,9663,972,null,10.0,2214,891,345,65.9,null,null,null,4.0,null,null,null,5295,null,13.3,null,12189,25,4887,6.9,21.4,1705,null,null,1481,null,5735,null,5216,null,1051,6039,null,75065,"12503",4729,null,6958,34,2924,5989,null,null
1384,null,null,null,4369,5.8,null,72440,null,3780,null,1529,null,6860,3457,33,"2014",null,null,598,null,3802,5489,null,9895,1.8,11.7,null,33,7716,2525,null,null,3615,4627,6072,14549,null,8245,null,1287,12249,8946,null,null,16296,null,-1103,2144,null,null,6746,null,142837,2688,8397,null,3289,23.3,null,2563,3428,null,null,773,null,916,8051,null,null,1.9,17030,null,null,null,null,163,10.7,null,1966,null,3848,11653,null,null,4830,3033.4,2913,6609,641,null,null,null,3181,null,7628,null,2459,null,8084,null,3914,null,3804,"Parramatta",2978,null,null,9506,853,null,8.7,1838,849,481,69.7,null,null,null,3.5,null,null,null,6760,null,15.2,null,13446,34,4879,6.3,18.7,1710,null,null,1228,null,5065,null,4028,null,1121,5581,null,70397,"12504",3245,null,5666,34,2637,5162,null,null
599,null,null,null,1371,3.9,null,22630,null,1837,null,777,null,3402,1747,40,"2014",null,null,211,null,1654,1472,null,3634,2.4,15.1,null,39,3169,1044,null,null,1759,1690,1207,3998,null,1394,null,583,2752,1343,null,null,2840,null,78,1033,null,null,3295,null,46497,1358,2640,null,1548,11.8,null,1119,1415,null,null,260,null,430,1446,null,null,1.6,2656,null,null,null,null,96,14.6,null,865,null,1771,2441,null,null,1752,2094.0,1376,2851,365,null,null,null,1436,null,3608,null,454,null,1313,null,1515,null,1656,"Pennant Hills - Epping",1328,null,null,3154,407,null,12.9,791,271,292,67.1,null,null,null,5.2,null,null,null,1280,null,12.7,null,4076,31,1464,8.3,17.1,712,null,null,603,null,1882,null,1269,null,489,1234,null,23867,"12601",1643,null,2686,41,1141,2185,null,null
1550,null,null,null,3858,4.8,null,65399,null,4284,null,1969,null,7478,3987,37,"2014",null,null,496,null,4414,4833,null,11330,2.5,14.1,null,35,8617,2675,null,null,4257,4909,4140,10060,null,5758,null,1494,9551,5413,null,null,11411,null,-556,2902,null,null,7612,null,133255,3139,7357,null,3625,16.9,null,3362,3581,null,null,766,null,1236,5653,null,null,1.6,11057,null,null,null,null,284,12.7,null,2211,null,4080,8139,null,null,5672,2825.5,3519,6724,932,null,null,null,3143,null,8364,null,1576,null,5644,null,4203,null,4159,"Ryde - Hunters Hill",3502,null,null,9440,1134,null,10.7,1948,893,671,68.7,null,null,null,4.8,null,null,null,4718,null,14.3,null,9504,55,4531,7.3,16.7,2228,null,null,1666,null,5658,null,3499,null,1208,3999,null,67856,"12602",3221,null,6641,38,2917,5592,null,null
776,null,null,null,3627,5.2,null,45887,null,3042,null,798,null,7526,2713,33,"2014",null,null,469,null,3258,3173,null,7257,0.8,16.1,null,32,6266,1599,null,null,3836,3470,3414,7024,null,3345,null,819,6029,3261,null,null,6580,null,1697,973,null,null,5314,null,92079,1998,6979,null,2601,14.2,null,776,3783,null,null,525,null,432,3235,null,null,2.0,6489,null,null,null,null,125,13.6,null,1152,null,3245,6728,null,null,3583,323.2,1574,7379,304,null,null,null,3596,null,6287,null,1241,null,3228,null,3008,null,2243,"Bringelly - Green Valley",1961,null,null,6636,285,null,10.1,1091,343,282,67.7,null,null,null,2.8,null,null,null,2856,null,13.8,null,8721,14,3166,5.8,22.9,491,null,null,541,null,3674,null,3352,null,696,3314,null,46192,"12701",3690,null,3959,33,1485,3084,null,null
2099,null,null,null,6334,5.2,null,94015,null,6891,null,2341,null,13839,6360,36,"2014",null,null,837,null,6339,6144,null,14665,1.5,15.0,null,35,12533,3942,null,null,7190,6755,6180,11722,null,7145,null,1568,11740,6374,null,null,13873,null,-2745,3449,null,null,12410,null,190057,4862,12518,null,6050,14.1,null,2768,6411,null,null,947,null,1525,6728,null,null,1.8,12895,null,null,null,null,174,13.8,null,3095,null,6713,11866,null,null,7094,1535.4,4440,12493,674,null,null,null,6082,null,13604,null,2174,null,6521,null,6194,null,6075,"Fairfield",5215,null,null,12990,1031,null,11.8,2980,1032,576,67.7,null,null,null,4.2,null,null,null,5596,null,13.0,null,8977,42,6235,7.3,19.4,1737,null,null,1924,null,7571,null,6184,null,1393,5686,null,96042,"12702",6649,null,10077,37,3880,7822,null,null
1042,null,null,null,4338,5.9,null,57436,null,3611,null,1175,null,7757,3227,34,"2014",null,null,562,null,3725,4195,null,8376,1.2,14.0,null,33,7500,2104,null,null,4053,4182,4610,9708,null,4649,null,1087,8403,4637,null,null,9037,null,-89,1512,null,null,6298,null,115011,2484,8487,null,3071,16.0,null,1327,3963,null,null,759,null,618,4388,null,null,2.1,9349,null,null,null,null,147,12.9,null,1523,null,3736,9176,null,null,4108,928.8,2217,7703,487,null,null,null,3740,null,7347,null,1800,null,4712,null,3775,null,3068,"Liverpool",2483,null,null,8317,461,null,9.8,1545,572,308,67.3,null,null,null,3.2,null,null,null,4208,null,14.5,null,9619,20,4135,6.3,22.1,866,null,null,894,null,4268,null,4149,null,941,4566,null,57575,"12703",3704,null,4967,34,2066,4170,null,null
1615,null,null,null,3427,4.5,null,55313,null,3871,null,1968,null,6083,3664,40,"2014",null,null,444,null,3705,3728,null,7417,3.0,12.0,null,39,7377,2766,null,null,3055,4083,3570,6651,null,3940,null,1269,7460,3780,null,null,7866,null,268,3178,null,null,7284,null,112834,2988,6742,null,3620,13.7,null,3338,3136,null,null,746,null,1320,3926,null,null,1.9,7546,null,null,null,null,245,13.3,null,2272,null,3749,6800,null,null,3719,2028.8,3583,6258,789,null,null,null,3122,null,7620,null,1314,null,3766,null,3672,null,4380,"Cronulla - Miranda - Caringbah",3154,null,null,8029,1205,null,11.9,2108,827,501,64.5,null,null,null,6.0,null,null,null,3732,null,13.7,null,6919,23,3946,9.0,17.5,2133,null,null,1858,null,3698,null,3315,null,1025,3230,null,57521,"12801",3028,null,6142,41,2965,5731,null,null
1120,null,null,null,3870,6.0,null,55173,null,4223,null,1213,null,7405,3835,38,"2014",null,null,582,null,3876,3932,null,7801,1.6,13.6,null,37,7507,2759,null,null,3857,4346,3897,6318,null,3342,null,1400,7534,3266,null,null,6686,null,-137,1838,null,null,7449,null,111640,3248,7479,null,3614,12.0,null,1814,3667,null,null,751,null,736,3344,null,null,1.9,6691,null,null,null,null,286,14.0,null,1890,null,3862,7497,null,null,3731,464.6,2333,7154,772,null,null,null,3487,null,8085,null,1293,null,3425,null,3631,null,3738,"Sutherland - Menai - Heathcote",3257,null,null,8508,620,null,12.5,1848,775,611,66.4,null,null,null,3.7,null,null,null,3602,null,14.4,null,6181,32,4162,8.4,19.8,1194,null,null,1102,null,4070,null,3609,null,1108,3600,null,56467,"12802",3548,null,6505,40,2857,5616,null,null
1299,null,null,null,3446,6.0,null,49967,null,3383,null,1580,null,7332,3177,37,"2014",null,null,407,null,3354,3206,null,8242,2.1,15.2,null,36,6531,2359,null,null,3779,3468,3507,4821,null,3409,null,1691,6300,3054,null,null,6832,null,705,2231,null,null,6183,null,102558,2683,6664,null,3006,12.8,null,2147,3200,null,null,583,null,908,3423,null,null,2.0,6283,null,null,null,null,525,12.8,null,2025,null,3176,6857,null,null,4109,228.7,2879,6378,1224,null,null,null,3178,null,6559,null,1288,null,3229,null,3177,null,3796,"Ballarat",2948,null,null,6705,715,null,11.5,1771,798,1062,64.9,null,null,null,5.0,null,null,null,3094,null,12.7,null,5526,43,3237,8.6,19.4,1432,null,null,1323,null,4133,null,3218,null,1164,3350,null,52591,"20101",3553,null,5631,39,2649,5008,null,null
452,null,null,null,954,6.1,null,13950,null,1106,null,409,null,1580,1168,46,"2014",null,null,85,null,1082,808,null,1055,2.0,9.5,null,45,2044,1017,null,null,876,1010,840,1957,null,533,null,372,1596,587,null,null,1078,null,220,609,null,null,2285,null,27806,1169,1907,null,1117,8.6,null,549,838,null,null,161,null,285,545,null,null,2.1,1319,null,null,null,null,127,15.4,null,642,null,1141,1593,null,null,465,7.6,861,1565,266,null,null,null,727,null,2247,null,271,null,732,null,962,null,1309,"Creswick - Daylesford - Ballan",1118,null,null,1949,183,null,16.4,667,237,206,62.7,null,null,null,5.3,null,null,null,788,null,12.7,null,2177,8,939,11.8,18.2,366,null,null,324,null,590,null,953,null,242,753,null,13856,"20102",704,null,2287,46,956,1973,null,null
553,null,null,null,723,6.6,null,12344,null,953,null,506,null,1389,913,48,"2014",null,null,83,null,832,593,null,900,2.8,9.4,null,49,1597,1017,null,null,709,821,665,1476,null,532,null,334,1212,492,null,null,956,null,227,674,null,null,1970,null,24453,1064,1412,null,1057,8.1,null,680,763,null,null,128,null,341,424,null,null,2.3,1032,null,null,null,null,94,14.2,null,711,null,927,1292,null,null,449,4.0,1059,1423,225,null,null,null,660,null,1880,null,237,null,540,null,765,null,1462,"Maryborough - Pyrenees",949,null,null,1573,271,null,16.3,751,269,189,59.4,null,null,null,7.1,null,null,null,619,null,11.4,null,1703,19,752,13.9,16.9,409,null,null,333,null,451,null,689,null,240,627,null,12109,"20103",680,null,2013,48,912,1929,null,null
1296,null,null,null,3150,6.1,null,44716,null,3034,null,1465,null,6171,2929,37,"2014",null,null,342,null,2855,2874,null,6952,2.4,14.3,null,36,5443,2218,null,null,3162,3033,3240,4665,null,3167,null,1501,5578,2906,null,null,6212,null,448,2124,null,null,5574,null,91692,2523,6064,null,2645,13.2,null,2223,2944,null,null,570,null,888,3045,null,null,2.0,5855,null,null,null,null,546,12.3,null,1820,null,2773,6264,null,null,3563,319.0,2761,5630,1091,null,null,null,2686,null,5807,null,1248,null,2949,null,2588,null,3448,"Bendigo",2683,null,null,5883,767,null,11.8,1628,767,844,64.0,null,null,null,5.3,null,null,null,2704,null,12.5,null,5113,88,2850,8.7,19.6,1456,null,null,1236,null,3389,null,2914,null,955,3024,null,46976,"20201",3009,null,5206,39,2279,4497,null,null
731,null,null,null,1464,6.0,null,22870,null,1886,null,768,null,2899,1802,46,"2014",null,null,144,null,1728,1247,null,2003,2.2,10.8,null,45,3405,1622,null,null,1478,1696,1213,2818,null,757,null,644,2462,950,null,null,1517,null,725,1042,null,null,3643,null,45486,1795,2736,null,1841,7.7,null,1023,1512,null,null,217,null,490,760,null,null,2.2,1964,null,null,null,null,199,15.6,null,1064,null,1783,2429,null,null,886,11.6,1499,2845,470,null,null,null,1333,null,3669,null,439,null,1014,null,1677,null,2234,"Heathcote - Castlemaine - Kyneton",1799,null,null,3353,395,null,15.9,1170,380,387,62.7,null,null,null,5.6,null,null,null,1215,null,12.8,null,3543,41,1657,11.9,17.6,628,null,null,552,null,1117,null,1272,null,446,1216,null,22616,"20202",1421,null,3594,46,1547,3169,null,null
242,null,null,null,311,6.3,null,5684,null,487,null,218,null,630,413,49,"2014",null,null,37,null,421,226,null,356,2.8,8.8,null,50,828,471,null,null,314,323,297,772,null,229,null,141,521,188,null,null,420,null,90,319,null,null,925,null,11182,491,647,null,512,8.1,null,318,329,null,null,22,null,153,191,null,null,2.4,485,null,null,null,null,43,16.1,null,243,null,483,592,null,null,182,1.5,460,682,104,null,null,null,353,null,970,null,116,null,297,null,407,null,580,"Loddon - Elmore",450,null,null,675,137,null,16.7,337,105,119,60.4,null,null,null,7.0,null,null,null,295,null,10.7,null,862,6,352,12.6,17.2,181,null,null,166,null,174,null,336,null,95,295,null,5498,"20203",316,null,941,47,362,833,null,null
191,null,null,null,751,6.0,null,9213,null,687,null,181,null,1275,608,40,"2014",null,null,68,null,665,560,null,777,1.4,11.4,null,39,1339,468,null,null,666,704,651,1247,null,424,null,331,1151,488,null,null,826,null,184,254,null,null,1266,null,18042,586,1396,null,658,10.2,null,248,741,null,null,159,null,115,402,null,null,2.3,1014,null,null,null,null,105,15.0,null,281,null,683,1242,null,null,374,7.0,372,1471,252,null,null,null,730,null,1370,null,212,null,526,null,674,null,589,"Barwon - West",560,null,null,1439,102,null,13.4,308,119,164,64.3,null,null,null,3.5,null,null,null,591,null,14.4,null,1431,7,735,8.1,22.8,146,null,null,139,null,403,null,645,null,225,591,null,8829,"20301",609,null,1146,40,399,867,null,null
2557,null,null,null,5898,5.9,null,91020,null,6365,null,2949,null,12106,5743,39,"2014",null,null,694,null,5981,5880,null,13202,2.5,13.7,null,37,11976,4404,null,null,6122,6260,5896,8213,null,6289,null,2806,11630,6115,null,null,12638,null,855,4437,null,null,11350,null,184182,4897,11171,null,5607,13.5,null,4629,5675,null,null,1028,null,1879,6349,null,null,1.9,12183,null,null,null,null,912,13.2,null,3646,null,6019,11509,null,null,6382,200.5,5506,10780,1988,null,null,null,5105,null,12384,null,2262,null,6068,null,5995,null,6910,"Geelong",5184,null,null,12397,1636,null,11.6,3264,1624,1643,65.1,null,null,null,5.4,null,null,null,5750,null,13.0,null,9068,131,6137,8.8,18.2,2993,null,null,2558,null,6820,null,5273,null,1891,5613,null,93162,"20302",5984,null,10081,40,4889,9293,null,null
1115,null,null,null,2329,5.1,null,32575,null,2354,null,1165,null,3838,2519,44,"2014",null,null,278,null,2252,2172,null,2933,2.5,10.2,null,43,4188,2215,null,null,2039,2559,2151,3911,null,1461,null,1108,4126,1659,null,null,2751,null,1120,1670,null,null,4877,null,66532,2387,4515,null,2358,9.1,null,1692,2130,null,null,380,null,760,1290,null,null,2.1,3331,null,null,null,null,363,13.1,null,1658,null,2167,4195,null,null,1380,71.5,2280,4160,759,null,null,null,2030,null,4521,null,707,null,1672,null,1936,null,3219,"Surf Coast - Bellarine Peninsula",2486,null,null,4870,660,null,14.7,1561,539,679,60.6,null,null,null,5.9,null,null,null,1954,null,13.5,null,5031,45,2311,11.6,19.3,1032,null,null,910,null,1553,null,2186,null,746,2044,null,33957,"20303",1799,null,4873,44,2278,4493,null,null
953,null,null,null,1597,5.8,null,26510,null,2007,null,910,null,3544,1852,45,"2014",null,null,236,null,1800,1390,null,2617,2.4,11.8,null,44,3514,1959,null,null,1865,1668,1532,3374,null,1212,null,746,2625,1298,null,null,2554,null,213,1311,null,null,3848,null,52248,1888,3152,null,1996,9.9,null,1260,1572,null,null,290,null,612,1342,null,null,2.2,2593,null,null,null,null,253,14.4,null,1305,null,2001,2964,null,null,1111,3.7,1863,3136,470,null,null,null,1564,null,4008,null,536,null,1295,null,1714,null,2678,"Upper Goulburn Valley",1797,null,null,3225,510,null,14.4,1373,477,442,61.7,null,null,null,6.1,null,null,null,1235,null,11.2,null,3587,8,1557,12.2,17.7,750,null,null,699,null,1506,null,1555,null,489,1432,null,25738,"20401",1679,null,3685,45,1712,3671,null,null
839,null,null,null,1451,5.9,null,21837,null,1738,null,907,null,2888,1779,45,"2014",null,null,166,null,1569,1183,null,1943,3.0,10.9,null,44,3033,1385,null,null,1459,1436,1282,2267,null,969,null,704,2339,987,null,null,2035,null,-46,1314,null,null,3456,null,44492,1675,2716,null,1677,9.3,null,1356,1407,null,null,246,null,566,1066,null,null,2.1,2095,null,null,null,null,257,14.2,null,1093,null,1554,2450,null,null,996,6.8,1746,2801,503,null,null,null,1394,null,3292,null,440,null,1108,null,1464,null,2155,"Wangaratta - Benalla",1541,null,null,2813,483,null,15.0,1062,460,431,60.9,null,null,null,6.9,null,null,null,1156,null,11.6,null,2221,21,1377,11.2,17.9,873,null,null,748,null,947,null,1265,null,442,1168,null,22655,"20402",1429,null,3216,46,1459,2844,null,null
1015,null,null,null,2325,5.8,null,34078,null,2508,null,1008,null,4692,2412,41,"2014",null,null,263,null,2168,2027,null,3891,2.1,12.6,null,40,4413,2009,null,null,2512,2400,2192,4266,null,1853,null,1102,3987,1815,null,null,3712,null,425,1425,null,null,4761,null,68029,2239,4536,null,2349,10.9,null,1450,2247,null,null,616,null,619,1859,null,null,2.2,3692,null,null,null,null,282,13.8,null,1438,null,2473,4324,null,null,1740,5.0,2023,4512,789,null,null,null,2265,null,4981,null,793,null,1877,null,2245,null,2721,"Wodonga - Alpine",2066,null,null,4656,529,null,13.3,1283,521,448,63.3,null,null,null,5.1,null,null,null,1960,null,12.7,null,4691,43,2256,9.8,19.7,921,null,null,806,null,2151,null,2211,null,820,2132,null,33951,"20403",2180,null,4305,42,1939,3948,null,null
825,null,null,null,1549,5.1,null,22833,null,1677,null,751,null,3083,1726,42,"2014",null,null,154,null,1504,1303,null,2430,2.2,12.0,null,41,2889,1419,null,null,1588,1517,1595,2372,null,1281,null,687,2468,1293,null,null,2532,null,658,997,null,null,3343,null,46055,1544,2982,null,1617,10.9,null,996,1445,null,null,66,null,458,1251,null,null,2.1,2489,null,null,null,null,271,13.3,null,1066,null,1582,2983,null,null,1167,11.7,1576,2932,509,null,null,null,1487,null,3259,null,549,null,1196,null,1385,null,2124,"Baw Baw",1636,null,null,2973,340,null,14.2,1058,327,607,62.2,null,null,null,5.6,null,null,null,1165,null,11.8,null,3030,11,1456,10.7,19.3,656,null,null,539,null,1263,null,1433,null,414,1388,null,23222,"20501",1495,null,3180,43,1400,2819,null,null
